Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿  2026-04-01 17:50:19;ACTION;Start saveProject (SC_SaveUtil.cpp,509)
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+; OK 
﻿    2026-04-01 17:50:19;Rename;C:\Users\JTR\OneDrive\문서\Toon Boom Storyboard Pro Library\ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard;C:\Users\JTR\OneDrive\문서\Toon Boom Storyboard Pro Library\ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard~ OK 
﻿    2026-04-01 17:50:19;Rename;C:\Users\JTR\OneDrive\문서\Toon Boom Storyboard Pro Library\ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+;C:\Users\JTR\OneDrive\문서\Toon Boom Storyboard Pro Library\ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard OK 
﻿    2026-04-01 17:50:19;ACTION;Start writeToVersionAuxFile (tuelementmgr.cpp,2542)
﻿      2026-04-01 17:50:19;ACTION;Start writeToVersionAuxFile (EM_XMLFileIO.cpp,318)
﻿        2026-04-01 17:50:19;Rename;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.aux;ACTcidentMAIN-260401.aux~ OK 
﻿        2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.aux; OK 
﻿      2026-04-01 17:50:19;ACTION;End writeToVersionAuxFile (EM_XMLFileIO.cpp,318)
﻿    2026-04-01 17:50:19;ACTION;End writeToVersionAuxFile (tuelementmgr.cpp,2542)
﻿  2026-04-01 17:50:19;ACTION;End saveProject (SC_SaveUtil.cpp,509)
﻿  2026-04-01 17:50:19;ACTION;Start writeToDrawingVersionAuxFile (EM_XMLFileIO.cpp,372)
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.versionTable;scene.versionTable~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.versionTable; OK 
﻿  2026-04-01 17:50:19;ACTION;End writeToDrawingVersionAuxFile (EM_XMLFileIO.cpp,372)
﻿  2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard.thumbnails; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.elementTable~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-30.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-31.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-32.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-33.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-34.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-35.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-36.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-37.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-38.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-39.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-40.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-41.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-42.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-43.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-44.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-45.tvg~; OK 
﻿  2026-04-01 17:50:19;Delete;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-46.tvg~; OK 
